Number of non‑zero bins: 812
Total bins: 209952
Fraction: 0.39%

#R=G=B, hence the colours are all gray to black

(np.int64(1), np.int64(20), np.int64(16), np.int64(30)) -> [0.05363135 0.05363135 0.05363135]
(np.int64(1), np.int64(21), np.int64(1), np.int64(1)) -> [0.01222064 0.01222064 0.01222064]
(np.int64(1), np.int64(21), np.int64(1), np.int64(32)) -> [0.03890901 0.03890901 0.03890901]
(np.int64(1), np.int64(21), np.int64(1), np.int64(33)) -> [0.05363135 0.05363135 0.05363135]
(np.int64(1), np.int64(21), np.int64(2), np.int64(12)) -> [0.02480118 0.02480118 0.02480118]
(np.int64(1), np.int64(21), np.int64(2), np.int64(20)) -> [0.506118 0.506118 0.506118]
(np.int64(1), np.int64(21), np.int64(3), np.int64(3)) -> [0.00081811 0.00081811 0.00081811]
(np.int64(1), np.int64(21), np.int64(3), np.int64(11)) -> [0.00070756 0.00070756 0.00070756]
(np.int64(1), np.int64(21), np.int64(3), np.int64(27)) -> [0.00063853 0.00063853 0.00063853]
(np.int64(1), np.int64(21), np.int64(3), np.int64(31)) -> [0.01905143 0.01905143 0.01905143]
(np.int64(1), np.int64(21), np.int64(3), np.int64(34)) -> [0.00074799 0.00074799 0.00074799]
(np.int64(1), np.int64(21), np.int64(4), np.int64(2)) -> [0.00107679 0.00107679 0.00107679]
(np.int64(1), np.int64(21), np.int64(4), np.int64(27)) -> [0.00054451 0.00054451 0.00054451]
(np.int64(1), np.int64(21), np.int64(5), np.int64(21)) -> [13.46116 13.46116 13.46116]
(np.int64(1), np.int64(21), np.int64(6), np.int64(21)) -> [8.58864 8.58864 8.58864]
(np.int64(1), np.int64(21), np.int64(7), np.int64(16)) -> [0.01329269 0.01329269 0.01329269]
(np.int64(1), np.int64(21), np.int64(10), np.int64(3)) -> [0.09134005 0.09134005 0.09134005]
(np.int64(1), np.int64(21), np.int64(12), np.int64(3)) -> [0.14784892 0.14784892 0.14784892]
(np.int64(1), np.int64(21), np.int64(15), np.int64(19)) -> [0.03682599 0.03682599 0.03682599]
(np.int64(1), np.int64(21), np.int64(15), np.int64(24)) -> [0.05331083 0.05331083 0.05331083]
(np.int64(1), np.int64(21), np.int64(15), np.int64(26)) -> [0.09598012 0.09598012 0.09598012]
(np.int64(1), np.int64(21), np.int64(16), np.int64(3)) -> [1.0356588 1.0356588 1.0356588]
(np.int64(1), np.int64(21), np.int64(16), np.int64(4)) -> [0.13073842 0.13073842 0.13073842]
(np.int64(1), np.int64(21), np.int64(16), np.int64(20)) -> [0.04222042 0.04222042 0.04222042]
(np.int64(1), np.int64(21), np.int64(16), np.int64(27)) -> [0.2875198 0.2875198 0.2875198]
(np.int64(1), np.int64(21), np.int64(16), np.int64(30)) -> [0.10757701 0.10757701 0.10757701]
(np.int64(1), np.int64(21), np.int64(16), np.int64(31)) -> [0.06013212 0.06013212 0.06013212]
(np.int64(1), np.int64(22), np.int64(1), np.int64(8)) -> [0.00290087 0.00290087 0.00290087]
(np.int64(1), np.int64(22), np.int64(1), np.int64(12)) -> [0.10443999 0.10443999 0.10443999]
(np.int64(1), np.int64(22), np.int64(2), np.int64(20)) -> [0.5258451 0.5258451 0.5258451]
(np.int64(1), np.int64(22), np.int64(2), np.int64(27)) -> [0.00253792 0.00253792 0.00253792]
(np.int64(1), np.int64(22), np.int64(2), np.int64(35)) -> [0.00169195 0.00169195 0.00169195]
